                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 1.7277,                 1.1465,                 1.0057,                 2.2896,                 1.6302,                0.99118,                0.39948,                0.30157,                0.29646,                0.14574,                 1.7261,                  1.234,                 1.0483,                 2.2695,                 1.7209,                 1.0315,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.6979,                 1.1267,                 1.0083,                 2.2946,                  1.621,                 0.9929,                0.39268,                0.27648,                0.28151,                0.13602,                 1.7534,                  1.208,                 1.0291,                 2.3478,                 1.7131,                 1.0313,               0.001502,               0.001502,               0.001502
                     13,                 1.6587,                  1.117,                 1.0044,                 2.2345,                 1.5963,                0.99326,                0.45225,                0.32094,                0.32039,                0.16065,                 1.7219,                 1.2069,                 1.0179,                 2.2649,                 1.6924,                 1.0126,              0.0014855,              0.0014855,              0.0014855
                     14,                  1.712,                 1.1237,                 1.0052,                 2.2808,                 1.5632,                0.99204,                0.40535,                0.31945,                 0.3075,                0.15046,                 1.7338,                 1.1539,                 1.0229,                 2.2988,                 1.6352,                  1.013,               0.001469,               0.001469,               0.001469
                     15,                 1.6754,                 1.1107,                 1.0003,                 2.2568,                 1.5796,                0.99032,                0.41177,                0.31828,                0.30092,                0.14667,                  1.748,                 1.2617,                 1.0457,                 2.2921,                 1.7554,                 1.0333,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.6722,                  1.091,                0.99387,                 2.2763,                 1.5472,                0.99009,                  0.435,                0.32065,                0.31692,                0.15379,                 1.6797,                 1.1398,                 1.0216,                 2.2596,                 1.6536,                  1.024,               0.001436,               0.001436,               0.001436
                     17,                 1.6509,                 1.0897,                0.98987,                 2.2604,                 1.5346,                0.98546,                0.46718,                0.32216,                0.32535,                0.16506,                 1.6732,                 1.1392,                 1.0028,                 2.2426,                 1.6116,                 1.0051,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.6805,                 1.0829,                0.99802,                 2.2767,                 1.5148,                0.98835,                 0.4559,                  0.323,                0.32917,                0.16348,                 1.7013,                 1.1642,                 1.0036,                 2.2487,                 1.6788,                 1.0059,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.5919,                 1.0258,                0.98249,                 2.1858,                 1.4663,                0.97775,                0.46859,                 0.3237,                0.33592,                0.16665,                 1.6382,                 1.0748,                  1.008,                 2.2178,                 1.5585,                 1.0131,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.5976,                  1.015,                0.97336,                 2.1977,                 1.4475,                0.97295,                0.41451,                0.32808,                0.31681,                0.15534,                 1.7126,                 1.1499,                 1.0161,                 2.2624,                 1.6938,                  1.017,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.6385,                 1.0299,                0.98568,                 2.2204,                 1.4559,                 0.9825,                0.44887,                0.35052,                0.34904,                0.17353,                 1.6634,                 1.0675,                 1.0093,                 2.2174,                 1.4959,                 1.0078,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.5975,                 1.0153,                0.97767,                 2.1774,                 1.4382,                0.97434,                0.46551,                0.32825,                0.33285,                0.16471,                 1.6973,                 1.0849,                 1.0283,                 2.2245,                 1.5409,                 1.0156,              0.0013369,              0.0013369,              0.0013369
                     23,                  1.594,                 1.0094,                0.97811,                 2.1934,                 1.4385,                 0.9808,                0.48899,                 0.3504,                0.36475,                 0.1807,                 1.6318,                  1.018,                0.99568,                  2.204,                 1.4427,                  1.002,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.6493,                 1.0405,                0.97614,                 2.2305,                 1.4518,                0.97665,                0.45715,                0.36838,                0.37135,                0.18708,                 1.5989,                 1.0274,                0.98456,                 2.1477,                  1.463,                0.98714,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.5633,                0.99158,                0.98248,                 2.1423,                 1.4093,                 0.9789,                0.43783,                0.33575,                0.33811,                0.16738,                 1.6556,                 1.0849,                0.99284,                 2.2552,                 1.5416,                 1.0084,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.5767,                0.97473,                0.96095,                 2.1852,                 1.3697,                0.96562,                0.44486,                0.35577,                0.35379,                0.17421,                 1.6425,                 1.0362,                 0.9902,                 2.2625,                 1.4932,                 1.0066,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.5816,                 0.9707,                0.96733,                 2.1963,                 1.3766,                0.96987,                0.46911,                0.36276,                0.36063,                 0.1778,                 1.6278,                 1.0415,                0.99452,                 2.2042,                  1.474,                 1.0019,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.5411,                0.95342,                0.96998,                 2.1497,                 1.3589,                0.97217,                 0.4929,                0.34984,                0.35947,                0.17746,                 1.6047,                 1.0091,                0.98681,                 2.1828,                 1.4468,                0.99302,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.5577,                0.96574,                0.96014,                 2.1644,                 1.3683,                0.96376,                 0.4857,                0.36183,                 0.3734,                0.18993,                 1.5797,                0.98674,                0.98439,                 2.1433,                 1.4208,                0.98534,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.5692,                0.97774,                0.96741,                 2.1595,                 1.3904,                0.96612,                0.46928,                0.35469,                0.36154,                0.18312,                 1.6295,                0.99924,                 1.0074,                 2.1914,                 1.4517,                 1.0019,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.5569,                0.95269,                0.95915,                 2.1554,                 1.3424,                0.96172,                0.47365,                0.37515,                  0.377,                0.19098,                 1.5793,                 0.9931,                0.98806,                 2.1548,                 1.4007,                0.99316,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.5335,                0.93879,                0.96014,                 2.1081,                 1.3208,                0.96448,                0.45612,                0.35647,                0.35946,                0.18135,                 1.6399,                 1.0101,                 1.0004,                 2.2154,                 1.4727,                   1.01,              0.0011719,              0.0011719,              0.0011719
                     33,                  1.541,                0.94672,                0.95886,                 2.1463,                 1.3368,                0.96465,                0.46505,                0.34493,                0.35021,                0.17258,                 1.6425,                 1.0207,                0.98895,                 2.3097,                 1.4655,                 1.0181,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.5311,                0.92828,                0.96094,                 2.1322,                 1.3248,                0.96521,                0.47034,                0.35835,                0.36997,                0.19076,                 1.5562,                0.98374,                0.98213,                 2.1608,                 1.4276,                0.99443,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.5145,                 0.9269,                0.94837,                  2.112,                 1.3206,                0.95253,                0.49882,                0.36602,                0.38626,                0.19663,                 1.5676,                0.96754,                0.98414,                 2.1695,                 1.4021,                0.99791,              0.0011224,              0.0011224,              0.0011224
                     36,                  1.519,                0.93242,                0.95491,                 2.1116,                 1.3309,                0.96053,                0.47243,                0.37328,                0.38141,                0.19015,                 1.5957,                 0.9976,                0.98534,                 2.1649,                 1.4518,                0.99592,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.5386,                0.92412,                 0.9503,                 2.1264,                 1.3053,                0.95445,                0.45693,                0.38224,                0.38284,                0.19473,                 1.5189,                0.96921,                0.97241,                 2.1205,                 1.4075,                 0.9876,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.4809,                0.90149,                0.95095,                 2.0589,                 1.2899,                0.95665,                0.49634,                0.37478,                0.39055,                0.20325,                 1.5325,                0.94646,                0.96929,                 2.1012,                 1.3848,                0.97788,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.4747,                0.89665,                 0.9426,                 2.0723,                 1.2768,                0.94872,                0.45469,                0.36258,                0.37328,                0.18651,                 1.6147,                0.99362,                0.99512,                 2.2117,                 1.4713,                 1.0037,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.5324,                0.93254,                0.95726,                  2.128,                 1.3256,                0.95988,                0.46773,                0.36415,                0.37158,                0.18522,                 1.5846,                0.96766,                0.98843,                 2.1877,                 1.4562,                  1.004,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.5381,                 0.9178,                0.95552,                 2.1328,                 1.2876,                0.96121,                0.47719,                0.37298,                0.37975,                0.18982,                 1.6024,                0.98593,                0.98412,                 2.1942,                 1.4072,                0.99344,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.4964,                0.90456,                0.94396,                 2.0999,                 1.2906,                0.95466,                0.50482,                0.38155,                0.39417,                0.20085,                 1.5499,                0.95141,                0.97977,                 2.1516,                 1.3716,                0.98855,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.5275,                0.91305,                 0.9483,                 2.1301,                 1.2901,                0.95622,                0.47692,                0.37102,                0.37328,                0.19075,                 1.5945,                0.99052,                0.97798,                 2.2079,                  1.436,                0.99513,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.5288,                0.92141,                 0.9505,                 2.1251,                 1.3083,                0.95657,                0.52118,                 0.3654,                0.39129,                0.19443,                 1.5902,                0.97647,                0.97465,                  2.169,                  1.395,                 0.9859,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.4981,                0.89411,                0.94646,                 2.1176,                 1.2829,                0.95486,                0.45639,                0.38112,                0.38349,                 0.1941,                 1.5418,                0.95262,                0.96485,                 2.1823,                 1.3885,                0.98399,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.5067,                0.89843,                0.94182,                 2.1057,                 1.2647,                0.95044,                0.49775,                0.38684,                0.40252,                0.20348,                  1.526,                0.93525,                0.97761,                 2.1329,                 1.3674,                0.98275,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.4695,                0.86743,                0.93891,                 2.0825,                 1.2451,                0.94675,                0.49898,                0.38246,                0.39835,                 0.2045,                   1.52,                0.94236,                0.97529,                 2.1164,                 1.3672,                0.98375,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.4569,                0.86494,                0.93698,                 2.0478,                 1.2391,                 0.9419,                 0.4976,                0.39398,                0.40583,                0.20749,                 1.5026,                0.91701,                  0.972,                 2.1068,                 1.3327,                0.98582,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.4612,                0.85876,                0.93522,                 2.0684,                 1.2396,                0.94579,                0.49382,                0.38107,                0.39179,                0.19898,                 1.5427,                0.91869,                0.97195,                 2.1382,                 1.3366,                0.98379,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.4493,                0.84458,                0.93097,                 2.0541,                 1.2171,                0.94257,                0.48926,                0.39678,                0.40788,                0.20857,                  1.498,                0.92551,                0.96217,                 2.0901,                 1.3508,                0.98055,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.4459,                0.86574,                0.93831,                  2.031,                 1.2329,                0.94864,                0.52854,                0.38292,                0.40437,                0.20905,                 1.5173,                0.91945,                 0.9713,                 2.0857,                  1.329,                0.98383,             0.00085834,             0.00085834,             0.00085834
                     52,                  1.461,                 0.8578,                0.93281,                  2.058,                 1.2164,                0.94112,                0.53132,                0.38637,                0.41354,                0.21108,                 1.4972,                0.90206,                0.96757,                 2.0941,                 1.3269,                0.98024,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.4374,                0.85606,                0.93926,                 2.0219,                 1.2161,                0.94306,                0.53084,                0.37692,                0.40255,                0.20956,                 1.5313,                 0.9272,                0.96982,                 2.1159,                 1.3461,                0.98143,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.4297,                0.84502,                0.93352,                 2.0219,                 1.1996,                0.94298,                0.51871,                0.38931,                0.41011,                0.21223,                 1.5018,                0.90393,                0.96397,                  2.089,                 1.3256,                0.97837,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.5137,                0.87041,                0.93795,                 2.1022,                 1.2275,                0.94416,                0.50306,                0.38366,                0.39288,                0.20178,                 1.5565,                 0.9273,                0.97734,                 2.1625,                 1.3679,                 0.9935,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.4871,                0.85883,                0.93926,                 2.0909,                 1.2282,                0.94468,                0.51339,                0.39622,                0.41122,                0.21112,                 1.5314,                0.91019,                0.97528,                 2.0907,                 1.3127,                0.97867,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.4728,                0.85664,                0.93422,                 2.0821,                 1.2333,                 0.9436,                0.50961,                0.39386,                0.40781,                 0.2114,                 1.5009,                0.90578,                0.96298,                  2.105,                 1.3323,                0.97723,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.4127,                0.82162,                0.92317,                 2.0169,                 1.1818,                0.93357,                 0.5098,                0.38939,                0.40715,                0.20698,                 1.5245,                0.91713,                0.96933,                 2.1092,                 1.3363,                0.98241,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.4812,                0.86171,                0.93254,                 2.0783,                 1.2217,                0.94001,                0.51319,                 0.3865,                0.40602,                0.21281,                  1.497,                0.90408,                0.96141,                 2.0907,                 1.3246,                0.97442,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.4366,                0.84108,                 0.9333,                 2.0426,                 1.2268,                0.94155,                0.48006,                  0.406,                0.41387,                0.21564,                 1.4915,                 0.9062,                0.96102,                 2.0791,                 1.3235,                0.97389,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.4069,                0.81512,                0.92555,                 2.0074,                 1.1778,                0.93461,                0.51662,                0.38419,                0.40692,                0.21184,                 1.5197,                 0.8997,                0.96719,                 2.0902,                 1.3101,                0.97511,             0.00069331,             0.00069331,             0.00069331
                     62,                  1.432,                0.83155,                0.93321,                 2.0179,                 1.1979,                0.93983,                0.51822,                0.39606,                 0.4107,                0.21502,                 1.5221,                0.90626,                 0.9626,                 2.0972,                 1.3159,                0.97801,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.4231,                0.82807,                0.92395,                 2.0203,                 1.1907,                0.93591,                0.49455,                0.38965,                0.41072,                0.21413,                 1.5284,                0.91055,                 0.9705,                 2.0861,                 1.3225,                0.98164,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.4321,                0.82735,                0.92802,                  2.016,                 1.1871,                0.93878,                0.52095,                0.39518,                 0.4162,                0.21539,                 1.4984,                0.89586,                0.95868,                 2.0945,                 1.3326,                0.97418,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.4069,                0.82036,                0.92625,                 2.0275,                 1.1912,                 0.9392,                0.51536,                0.39815,                0.41699,                0.21759,                 1.4772,                 0.8784,                0.96092,                 2.0707,                 1.2878,                0.97676,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.3969,                0.81828,                0.92798,                 1.9912,                 1.1779,                0.93796,                0.52329,                0.40117,                0.41878,                0.21636,                 1.4957,                0.88419,                0.96153,                 2.0801,                 1.2964,                 0.9739,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.3903,                0.80749,                0.92615,                 1.9707,                 1.1591,                0.93515,                0.51204,                0.38183,                0.41059,                0.20955,                 1.5041,                0.90953,                0.96622,                  2.113,                 1.3389,                 0.9821,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.3853,                0.80385,                0.92569,                 1.9649,                 1.1607,                0.93505,                0.51315,                0.41508,                0.42783,                0.22236,                 1.4827,                 0.8956,                0.95675,                 2.0582,                 1.3175,                0.97014,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.3954,                0.80561,                 0.9206,                 1.9925,                  1.166,                 0.9322,                0.50507,                0.39735,                 0.4156,                0.21415,                 1.4979,                0.89143,                0.95677,                 2.0943,                 1.3237,                0.97374,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.3721,                0.80488,                0.92484,                 1.9496,                 1.1621,                0.93602,                0.52852,                0.39859,                0.41828,                0.21749,                  1.501,                0.90151,                0.95908,                 2.0738,                 1.3196,                0.97699,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.4314,                0.81433,                0.92727,                 2.0201,                 1.1629,                0.93831,                0.53568,                0.39269,                0.41771,                0.21314,                 1.5172,                0.90222,                0.96498,                 2.0852,                  1.319,                0.97734,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.4056,                0.81109,                 0.9258,                 2.0069,                 1.1643,                0.93332,                0.52598,                0.39123,                0.41915,                0.21889,                 1.4794,                0.87826,                0.95881,                 2.0658,                 1.3027,                0.97336,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.3833,                0.78956,                0.91789,                 1.9824,                 1.1469,                0.92854,                0.52156,                0.39537,                0.41944,                0.21976,                 1.4843,                0.86494,                0.95697,                 2.0782,                  1.284,                0.97313,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.4168,                0.81454,                 0.9243,                 2.0261,                 1.1834,                0.93484,                0.53991,                0.40272,                0.42223,                0.22062,                 1.4845,                0.88306,                0.95911,                 2.0814,                 1.3088,                0.97487,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.3874,                0.79752,                0.91842,                  1.991,                 1.1605,                0.93052,                0.52345,                0.40202,                0.42236,                0.21886,                 1.4806,                0.87827,                0.95958,                 2.0804,                 1.2933,                0.97139,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.3698,                0.77932,                 0.9184,                 1.9673,                 1.1312,                0.92927,                0.52303,                 0.4037,                0.42392,                 0.2206,                   1.48,                0.87766,                0.96014,                 2.0852,                 1.2934,                0.97412,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.4038,                0.80809,                0.91678,                 1.9924,                 1.1597,                0.92854,                0.55141,                0.41491,                0.43836,                0.22688,                 1.4674,                0.86456,                0.95142,                 2.0607,                 1.2785,                0.96912,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.3814,                0.79476,                 0.9184,                 1.9774,                 1.1449,                0.93056,                  0.524,                0.40555,                0.42825,                0.22026,                 1.4934,                0.88831,                0.96057,                 2.0759,                 1.2997,                0.98009,             0.00041275,             0.00041275,             0.00041275
                     79,                   1.38,                0.78911,                0.91512,                 1.9785,                 1.1348,                0.92785,                0.55115,                0.40482,                0.42872,                0.22276,                 1.4894,                0.87512,                0.95786,                 2.0636,                 1.2924,                0.97318,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.3586,                0.78842,                0.91894,                 1.9581,                 1.1479,                 0.9308,                0.53401,                0.40707,                0.43221,                0.22439,                  1.482,                 0.8601,                0.95836,                 2.0662,                 1.2752,                0.97208,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.3502,                0.77902,                0.91289,                 1.9442,                 1.1323,                0.92493,                0.55028,                0.41274,                0.43693,                0.22736,                 1.4712,                0.86593,                 0.9581,                 2.0495,                 1.2721,                0.97279,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.3697,                0.78327,                0.91536,                 1.9659,                 1.1427,                0.92848,                 0.5419,                0.40992,                0.43499,                0.22683,                 1.4721,                0.86364,                0.95846,                   2.05,                 1.2733,                0.97166,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.4065,                0.80802,                0.92153,                  2.017,                 1.1693,                0.93417,                0.54231,                0.40268,                0.42995,                0.22522,                   1.48,                 0.8713,                0.95736,                 2.0609,                 1.2875,                0.97156,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.3416,                0.77116,                0.91629,                 1.9321,                 1.1385,                0.93125,                0.52611,                0.40102,                0.42456,                0.22001,                 1.4906,                0.87648,                0.96378,                 2.0839,                 1.2999,                0.97761,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.3549,                0.77543,                0.90654,                 1.9579,                 1.1253,                 0.9191,                0.53387,                 0.4092,                0.43005,                0.22475,                 1.4739,                 0.8651,                0.95762,                 2.0501,                  1.287,                0.97258,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.3861,                0.78619,                0.91542,                 1.9755,                 1.1328,                 0.9255,                0.54276,                 0.4126,                0.43141,                0.22397,                  1.469,                0.86454,                0.95416,                 2.0586,                 1.2832,                0.97164,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.3479,                0.77051,                0.90837,                 1.9404,                  1.115,                 0.9223,                0.53342,                0.41613,                0.43984,                0.22866,                 1.4523,                 0.8513,                0.95246,                 2.0331,                 1.2655,                0.96441,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.3197,                0.75196,                0.90425,                  1.917,                 1.1018,                0.91712,                0.52197,                0.41423,                0.43173,                0.22622,                 1.4646,                0.85031,                0.95222,                  2.057,                 1.2637,                0.96984,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.3195,                0.74323,                0.90478,                 1.9179,                 1.0888,                0.91865,                0.53628,                0.41467,                0.43876,                0.23011,                 1.4468,                0.84835,                0.95007,                 2.0431,                 1.2543,                0.96637,             0.00023121,             0.00023121,             0.00023121
                     90,                  1.358,                0.76835,                0.91188,                  1.957,                 1.1319,                0.92609,                0.53528,                0.40837,                0.43381,                0.22618,                  1.465,                0.85813,                0.95617,                 2.0672,                 1.2666,                0.97028,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.3544,                0.81672,                0.91641,                 1.9553,                 1.1817,                0.93386,                 0.5566,                0.39528,                0.42851,                0.22318,                 1.4796,                0.90336,                0.95741,                 2.0713,                  1.321,                0.97317,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.3193,                0.76579,                0.91258,                 1.8891,                 1.1183,                 0.9304,                 0.5553,                0.40125,                0.43351,                 0.2262,                 1.4691,                0.86866,                0.95968,                 2.0539,                 1.2886,                0.97483,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.3131,                0.75409,                 0.9088,                 1.9062,                 1.1017,                0.92605,                0.54952,                0.40464,                0.43492,                0.22555,                 1.4832,                0.86694,                0.96587,                  2.058,                  1.282,                0.97577,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.3053,                0.75304,                0.90058,                  1.877,                 1.1057,                0.91806,                0.54326,                0.40474,                0.43476,                0.22658,                 1.4592,                 0.8576,                0.95748,                 2.0544,                 1.2694,                0.97185,              0.0001487,              0.0001487,              0.0001487
                     95,                  1.301,                0.73643,                0.90405,                 1.8775,                 1.0817,                0.92003,                0.55162,                  0.405,                0.43563,                0.22565,                 1.4688,                0.85732,                0.95314,                 2.0743,                 1.2735,                0.97281,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.2952,                0.73169,                 0.9053,                 1.8771,                 1.0723,                0.92036,                 0.5477,                0.40959,                0.43624,                0.22738,                 1.4575,                0.85692,                0.95538,                  2.055,                 1.2704,                0.97138,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.3049,                0.73916,                0.90348,                 1.8941,                 1.0839,                0.91944,                0.55656,                0.40833,                0.43714,                0.22791,                 1.4553,                0.85338,                0.95229,                 2.0486,                  1.263,                0.97022,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.2765,                0.72679,                0.90361,                 1.8535,                 1.0734,                0.92052,                0.54574,                0.40834,                0.43512,                0.22739,                 1.4536,                 0.8504,                0.95298,                 2.0585,                 1.2559,                0.97178,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.2904,                0.73096,                0.90338,                 1.8591,                 1.0715,                0.91964,                0.55876,                0.41029,                0.43997,                0.22968,                 1.4471,                 0.8477,                0.95383,                 2.0419,                 1.2544,                0.97051,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                  1.285,                 0.7243,                 0.9006,                 1.8661,                 1.0626,                0.91622,                0.55939,                0.40661,                0.43988,                0.22961,                 1.4491,                0.84622,                0.95464,                 2.0519,                  1.257,                0.97224,             4.9677e-05,             4.9677e-05,             4.9677e-05
