                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9988,                 3.5802,                 1.1191,                 2.4098,                 3.8551,                  1.067,                0.01401,                0.05556,                0.02255,                0.00975,                  2.416,                 3.6687,                 1.1341,                 2.7461,                 3.7797,                 1.0655,             0.00025005,             0.00025005,             0.00025005
                      2,                  2.141,                 2.3561,                 1.0411,                 2.4252,                 2.8028,                0.99547,                0.02229,                0.07881,                0.06037,                 0.0363,                 2.0089,                 3.3782,                 1.0426,                 2.3464,                 3.5372,                 1.0121,             0.00051165,             0.00051165,             0.00051165
                      3,                 1.9769,                 1.5761,                 1.0334,                  2.383,                 2.1528,                0.99857,                0.02531,                 0.0759,                0.06041,                0.03985,                 1.8937,                 3.1429,                 1.0463,                 2.3218,                 3.4882,                 1.0209,             0.00076798,             0.00076798,             0.00076798
                      4,                 1.8363,                  1.313,                 1.0228,                 2.3366,                 1.9383,                0.99914,                 0.0322,                0.10577,                0.08506,                0.05772,                 1.8562,                 2.8237,                 1.0424,                 2.3057,                 3.2627,                  1.018,               0.001019,               0.001019,               0.001019
                      5,                 1.8054,                 1.2813,                 1.0289,                 2.3265,                 1.9041,                  1.002,                0.07102,                0.28148,                0.14686,                0.08284,                 1.8599,                 2.3858,                 1.0334,                 2.3585,                 2.7928,                 1.0151,              0.0012648,              0.0012648,              0.0012648
                      6,                 1.7968,                 1.2566,                 1.0247,                 2.3432,                  1.837,                0.99721,                0.10494,                0.44825,                0.23488,                0.12215,                 1.8423,                 2.0245,                 1.0524,                 2.2939,                 2.4727,                  1.014,              0.0015053,              0.0015053,              0.0015053
                      7,                 1.7243,                 1.1947,                 1.0096,                 2.3079,                 1.7589,                0.99403,                0.12785,                0.46885,                0.25336,                0.12369,                 1.8583,                  1.732,                 1.0471,                 2.3157,                 2.2231,                 1.0223,               0.001568,               0.001568,               0.001568
                      8,                 1.7503,                 1.1986,                 1.0196,                 2.3212,                  1.745,                0.99772,                 0.4184,                0.23567,                 0.2529,                0.12673,                 1.8116,                 1.4632,                 1.0258,                 2.3453,                 1.9732,                 1.0122,               0.001568,               0.001568,               0.001568
                      9,                 1.7559,                 1.1842,                 1.0209,                 2.3184,                 1.7144,                 1.0001,                0.37213,                0.28114,                 0.2601,                0.12585,                 1.8412,                 1.2982,                 1.0597,                 2.3584,                 1.9208,                 1.0412,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.7438,                 1.1678,                   1.01,                 2.3327,                 1.6796,                0.99144,                0.38574,                0.29173,                0.27919,                0.13073,                 1.8171,                 1.2457,                 1.0555,                  2.302,                  1.758,                 1.0337,               0.001535,               0.001535,               0.001535
